0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_category ,object_type ,offer_type ,ref_object ,object_street ,object_zip ,object_city ,object_state ,object_country ,object_title ,object_description ,selling_price ,rent_net ,rent_extra ,price_unit ,picture_1_filename ,picture_2_filename ,picture_3_filename ,picture_4_filename ,picture_5_filename ,picture_1_title ,picture_2_title ,picture_3_title ,picture_4_title ,picture_5_title ,picture_1_description ,picture_2_description ,picture_3_description ,picture_4_description ,picture_5_description ,movie_filename ,movie_title ,movie_description ,document_filename ,document_title ,document_description ,url ,agency_id ,agency_name ,agency_name_2 ,agency_reference ,agency_street ,agency_zip ,agency_city ,agency_country ,agency_phone ,agency_mobile ,agency_fax ,agency_email ,agency_logo ,visit_name ,visit_phone ,visit_email ,visit_remark ,publish_until ,destination ,picture_6_filename ,picture_7_filename ,picture_8_filename ,picture_9_filename ,picture_6_title ,picture_7_title ,picture_8_title ,picture_9_title ,picture_6_description ,picture_7_description ,picture_8_description ,picture_9_description ,picture_1_url ,picture_2_url ,picture_3_url ,picture_4_url ,picture_5_url ,picture_6_url ,picture_7_url ,picture_8_url ,picture_9_url ,distance_motorway ,ceiling_height ,hall_height ,maximal_floor_loading ,carrying_capacity_crane ,carrying_capacity_elevator ,isdn ,wheelchair_accessible ,animal_allowed ,ramp ,lifting_platform ,railway_terminal ,restrooms ,water_supply ,sewage_supply ,power_supply ,gas_supply ,municipal_info ,own_object_url ,billing_anrede ,billing_first_name ,billing_name ,billing_company ,billing_street ,billing_post_box ,billing_zip ,billing_place_name ,billing_land ,billing_phone_1 ,billing_phone_2 ,billing_mobile ,billing_language ,publishing_id ,delivery_id ,picture_10_filename ,picture_11_filename ,picture_12_filename ,picture_13_filename ,picture_10_title ,picture_11_title ,picture_12_title ,picture_13_title ,picture_10_description ,picture_11_description ,picture_12_description ,picture_13_description ,picture_10_url ,picture_11_url ,picture_12_url ,picture_13_url ,commission_sharing ,commission_own ,commission_partner ,agency_logo_2 ,number_of_floors ,year_renovated ,flat_sharing_community ,corner_house ,middle_house ,building_land_connected ,gardenhouse ,raised_ground_floor ,new_building ,old_building ,under_building_laws ,under_roof ,swimmingpool ,minergie_general ,minergie_certified ,last_modified ,advertisement_id ,sparefield_1 ,sparefield_2 ,sparefield_3 ,sparefield_4 ,sparefield_5,sparefield_6,sparefield_7,sparefield_8,sparefield_9,sparefield_10
APPT,1,RENT,16,Dammstr. 19,4528,Zuchwil,SO,CH,Hier endet Ihre Wohnungssuche!,"Wir vermieten per sofort oder nach Vereinbarung eine attraktive Wohnung an bester Lage:<br /><br />- 1 Netto-Mietzins gratis!<br />- Praktischer Grundriss<br />- Lichtdurchflutete Zimmer<br />- Wohnzimmer mit Parkettboden<br />- Schlafzimmer mit Novilon<br />- Offene, moderne Küche mit GK und GS<br />- Helles Bad mit Wanne<br />- Grosszügiger, verglaster Balkon<br />- Ruhige Wohnlage<br />- Nähe Hauptbahnhof Solothurn<br /><br />Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Anfrage!",1395,1145,250,MONTHLY,08b06839-6a76-40c6-9881-00d0c5ca11d2.jpg,fcdda57e-fd06-47ee-8c73-9b90bf18d0cf.jpg,2d17fcaa-2325-4761-ad0e-6954d04823fb.jpg,991727a2-eca4-44f0-9601-9eeaae96a230.jpg,,Aussenansicht,Wohnzimmer,Küche,Bad,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/de37423c-de86-452a-ae0b-d608ca66159f?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Olten,Mathys Margot,Aarauerstrasse 11 / Postfach,4601,Olten,CH,062 287 82 95,,062 287 82 99,,,,,,Simone Kreuz-Do Nascimento<br />Telefon 1: 076 335 78 31<br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,44,Schmiedenweg 7,4528,Zuchwil,SO,CH,Suchen...Staunen...Mieten!,"Wir vermieten per sofort oder nach Vereinbarung eine moderne Wohnung mit folgenden Vorzügen:<br /><br />- 1 Netto-Mietzins gratis!<br />- Sanierung 2010 <br />- Wohnzimmer mit Parkettboden<br />- Restliche Zimmer mit Novilon<br />- Moderne, offene Küche mit GK/GS<br />- Helles Bad mit Wanne<br />- Einbauschrank im Korridor<br />- Grosszügiger, verglaster Balkon<br />- Lift<br />- Nähe Hauptbahnhof Solothurn und Einkauf<br />- Ideal für Pendler<br />- Kinderfreundliche Umgebung<br /><br />- Parkplatz CHF 50.-<br />- Einstellplatz CHF 120.-<br /><br />Die 360°-Aufnahmen stammen exakt aus dieser Wohnung - überzeugen Sie sich selbst!<br /><br />Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Anfrage!",1380,1120,260,MONTHLY,37fc6eff-40c6-4017-bf90-57d110e522a0.jpg,23c06a83-65c6-4dda-8358-97db4a72ce90.jpg,166c17eb-da83-4d9c-aa7d-b726525b5ba2.jpg,546db0fa-a66b-4bf3-8355-10e6053cadad.jpg,,Wohnzimmer,Küche,Bad,Zimmer,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/4e51f800-91d8-4bcb-ad12-3c0be244e697?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Olten,Mathys Margot,Aarauerstrasse 11 / Postfach,4601,Olten,CH,062 287 82 95,,062 287 82 99,,,,,,Simone Kreuz-Do Nascimento<br />Telefon 1: 076 335 78 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,74,Schmiedenweg 7,4528,Zuchwil,SO,CH,Wohnen mit Weitsicht!,"Bei Vertragsabschluss bis Ende Jahr schenken wir Ihnen einen Nettomietzins für Ihren Wohnungsumzug oder Ihre Endreinigung <br /><br />- 1 Netto-Mietzins gratis!<br />- Gut möblierbarer Grundriss<br />- Parkett im Wohnzimmer<br />- Zimmer mit praktischem Linoleum<br />- Helle Küche mit GS/GK, Granitabdeckung<br />- Modernes Bad mit Wanne<br />- Verglaster Balkon<br />- Lift<br />- Keller<br />- Grosser Spielplatz<br />- Nähe Hauptbahnhof Solothurn<br />- Ab- und Einstellplätze anmietbar<br /><br />Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Anfrage!",1380,1140,240,MONTHLY,30bb3ad8-7031-4ddf-af86-082baaceb50b.jpg,7283cd35-e2f0-4d7d-bc23-4b9b6dac7518.jpg,aedb0147-a3e2-42a4-9298-c071fdc5de20.jpg,d21682da-e4d1-4322-9763-044c044e373d.jpg,2c81f5df-a03b-4120-8c66-9965301d4ab7.jpg,Aussenansicht,Aussenansicht,Wohnzimmer,Küche,Bad,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/30d7c5e6-5229-4db9-b125-155a1cc80146?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Olten,Mathys Margot,Aarauerstrasse 11 / Postfach,4601,Olten,CH,062 287 82 95,,062 287 82 99,,,,,,"Margot Mathys<br />Aarauerstrasse 11 / Postfach, 4601 Olten<br />Telefon: 062 287 82 95<br />Fax/Natel:   062 287 82 99<br />Email:     margot.mathys@wincasa.ch",,,3ee7f3f3-88c6-4d7d-8a57-560dcc390c78.jpg,,,,Zimmer,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,86,Schmiedenweg 7,4528,Zuchwil,SO,CH,Pendler aufgepasst - Profitieren Sie jetzt!,"Bei Vertragsabschluss bis Ende Jahr schenken wir Ihnen einen Nettomietzins für Ihren Wohnungsumzug oder Ihre Endreinigung <br /><br />- 1 Netto-Mietzins gratis!<br />- Gut möblierbarer Grundriss<br />- Parkett im Wohnzimmer<br />- Zimmer mit praktischem Linoleum<br />- Helle Küche mit GS/GK, Granitabdeckung<br />- Modernes Bad mit Wanne<br />- Verglaster Balkon<br />- Lift<br />- Keller<br />- Grosser Spielplatz<br />- Nähe Hauptbahnhof Solothurn<br />- Ab- und Einstellplätze anmietbar<br /><br />Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Anfrage!",1320,1145,175,MONTHLY,6375114a-e391-46bf-96fd-59c72b6861d3.jpg,ebe33e18-2744-493a-8fc7-be7fed9fccf7.jpg,36ea048d-9946-41de-bb8d-fc86753dd2b5.jpg,9d0820c2-714c-4714-8f4e-d234358e0501.jpg,e67cc31a-6955-4e3a-b5d4-68c46582f5ef.jpg,Aussenansicht,Aussenansicht,Küche,Bad,Zimmer,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/c7327a16-d4aa-4636-a0b8-f6e84f94a780?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Olten,Mathys Margot,Aarauerstrasse 11 / Postfach,4601,Olten,CH,062 287 82 95,,062 287 82 99,,,,,,"Margot Mathys<br />Aarauerstrasse 11 / Postfach, 4601 Olten<br />Telefon: 062 287 82 95<br />Fax/Natel:   062 287 82 99<br />Email:     margot.mathys@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,5,RENT,1045,"Schaffhauserstr.,Einstellhalle",8052,Zürich,ZH,CH,Einstellplatz zu vermieten!,"Per sofort oder nach Vereinbarung vermieten wir an der Schaffhauserstr. 639 einen  Einstellplatz in unserer Tiefgarage.<br /><br />- Einstellplatz à 130.00 CHF/Mnt.<br />- zuzüglich MWST 7.7 % für externe Mieter<br /><br />Suchen Sie noch einen Einstellplatz für Ihr Auto, dann melden Sie sich bei uns. Gerne können die Einstellplätze nach Vereinbarung auch besichtigt werden.",130,130,,MONTHLY,0b774628-ca8a-49f2-bc88-61b24b185110.jpg,,,,,Aussenansicht,,,,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/50aeb13d-1d73-4182-bb7b-9dc4609c0f1a?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Zürich,Briner Yanick,Reitergasse 9,8021,Zürich,CH,442776712,,,,,,,,"Yanick Briner<br />Reitergasse 9, 8021 Zürich<br />Telefon: 0442776712<br />Fax/Natel:   044 277 67 68<br />Email:     yanick.briner@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,33,Alte Landstr. 19 C,8546,Islikon,TG,CH,Wohnen im Grünen,- grosse Wohnküche mit GS<br />- Bad mit Doppellavabo<br />- WC separat<br />- Wohnzimmer Parkett<br />- div. Wandschränke<br />- grosszügiger Balkon<br />- ruhige Lage <br />- Nahe Winterthur<br />- Nahe Bahnhof<br /><br />Tiefgaragenplatz Fr. 100.00 ,1400,1200,200,MONTHLY,26d6af95-ae60-4c9e-aa30-ea56b442464f.jpg,72a87641-b1ca-4d95-b2a4-e83cb21eef0d.jpg,cdd37a19-f2d9-40ea-9cc4-a9dd2c2bc837.jpg,f16eddff-250c-4a0d-8eaa-71cf12800922.jpg,db8a74ee-e757-40a2-9355-243facb6cf8f.jpg,Aussenansicht,Aussenansicht,Wohnzimmer,Küche,Küche,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/29cc191c-bc5d-4ff7-b1eb-878b4aa7280b?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Wieser Michaela,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 28,,071 421 69 99,,,,,,,,,af07dffa-eb39-4624-ab6f-a67edbe99b37.jpg,c9830ba4-cdb9-4268-b234-0de499f65afb.jpg,3ef88a75-561a-49e8-a698-7e8cba6c33b2.jpg,9f6a3046-714b-49b6-9731-d2e0e9431799.jpg,Bad,Bad,Korridor,Korridor,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,c6ef42ba-b4e5-4e88-8f8c-36129f4212d5.jpg,d714b619-b2e2-4f34-88cc-9baaf01ac65c.jpg,,,Korridor,Grundriss,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,9,Henauerstr. 15,9244,Niederuzwil,SG,CH,Mein kleines Reich...,"- Saniert 2011<br />- Attraktiver, grosszügiger Grundriss (51 m2)<br />- Ruhige Lage<br /><br />- Neue moderne Küche mit GK/GS<br />- Küche mit Platten<br />- Saniertes Bad/WC mit dunklen Platten<br />- Wohnzimmer und Zimmer Parkett<br />- Balkon<br />",1040,900,140,MONTHLY,4ddb1fc1-121e-4ccf-9bf0-e946b76c8cce.jpg,4f6ab5b0-8e1a-44cd-94d0-f7faf3b6b595.jpg,1cc446c5-a418-497a-9182-530780a52622.jpg,37137463-5154-4aed-843e-51147ca151e9.jpg,853c4afb-ddb6-4601-9e8d-4d98e830ab8d.jpg,Aussenansicht,Aussenansicht,Aussenansicht,Innenansicht,Küche,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/46643523-e549-4da2-8b71-3e7f83e97305?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Häfele Patrik,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 27,,071 421 69 99,,,,,,,,,b8f6c96e-b250-4c9f-8284-21a81d442454.jpg,84029294-412b-42be-b629-29130a331753.jpg,,,Bad,Bad,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,Y,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,9,RENT,152,Rotzenbühlstrasse Halle,8957,Spreitenbach,AG,CH,Benötigt Ihr Motorrad mehr Platz?,Wir haben die Lösung!<br /><br />Per sofort oder nach Vereinbarung vermieten wir einen praktischen Motorradplatz in unserer Einstellhalle:<br /><br />- Kurze Kündigungsfristen<br />- Direkt beim Bahnhof<br />- Bekannte Grossverteiler innert Kürze erreichbar<br /><br />Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Anfrage!,25,25,,MONTHLY,a8e4a6c4-d2dd-40a1-8819-f59a88651c62.jpg,,,,,Aussenansicht,,,,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/8003daf3-16e2-4474-921b-5bb50874fb93?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Baden,Fazzino Riccardo,Badstr. 4,5400,Baden,CH,056 404 83 13,,056 404 83 99,,,,,,"Riccardo Fazzino<br />Badstr. 4, 5400 Baden<br />Telefon: 056 404 83 13<br />Fax/Natel:   056 404 83 99<br />Email:     riccardo.fazzino@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,5,RENT,312,"Postweg, Einstellhalle",8143,Stallikon,ZH,CH,Einstellplatz zu vermieten,Wir vermieten per sofort oder nach Vereinbarung einen Einstellplatz in Stallikon. <br /><br />Mietzins: CHF 110.00 / Monat (Externe Mieter zzgl. 8% MWST)<br /><br />Wir freuen uns auf Ihre Kontaktaufnahme und stehen Ihnen bei Fragen oder Anliegen gerne zur Verfügung.,110,110,,MONTHLY,c74f0cda-41b7-4c60-8f75-77a3d77e8826.jpg,,,,,Diverse,,,,,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/ad4d86ff-07ef-4de9-9a50-6c6f6e5cc999?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Zug,Ulrich Marlene,Feldpark 3,6300,Zug,CH,041 414 29 08,,041 414 29 08,,,,,,"Marlene Ulrich<br />Feldpark 3, 6300 Zug<br />Telefon: 041 414 29 08<br />Fax/Natel:   041 414 29 99<br />Email:     marlene.ulrich@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,56,Ackerstr. 35,8610,Uster,ZH,CH,Schöne grüne Umgebung,- Wohnbereich + Korridor Parkett<br />- Zimmer Linoleum<br />- Küche Granitabdeckung mit Glaskeramik + Geschirrspüler<br />- Bad/WC <br />- Wandschränke<br />- Balkon<br />- Kinderfreundliche Umgebung<br />- Nähe Autobahnanschluss Uster West<br />- Mi,1620,1380,240,MONTHLY,646adadb-d97a-48ab-9bd8-ad6ec1e086bb.jpg,88c69b88-8e41-4b18-8364-49ba0de912ab.jpg,a3aa7d1c-d130-41c1-af95-19be6700753b.jpg,5ff42c7a-658e-488e-a5d4-04805f5511fb.jpg,fa4417aa-ccf2-4521-957b-60f7aa124c63.jpg,Aussenansicht,Aussenansicht,Wohnzimmer,Küche,Bad,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/4c6a10fb-a905-4164-a08d-5e7ed1a029b5?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale Uster,Colaku Emine,Hintere Bahnhofstr. 2,8610,Uster,CH,044 403 25 10,,,,,,,,"Frau Dushica, Tel. 076 804 60 33",,,164f88cc-221d-4de7-be46-e31220a0131d.jpg,167a70ca-32b1-4a91-83f4-453d8bbcd225.jpg,cda4db9c-16f2-4f67-90e9-f71608cd0630.jpg,15acf168-a7ed-4445-908c-36fe3b1347da.jpg,Zimmer,Balkon/Terrasse/Sitzplatz,Diverse,Grundriss,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,15,Amriswilerstr. 58,8570,Weinfelden,TG,CH,Nähe Schule und Kindergarten!,- Grosszügiges Wohnzimmer<br />- Wohnzimmer und Korridor Parkett<br />- Schlafräume mit Marmoleum<br />- Helle Küche mit Glaskeramik<br />- Schönes Bad/WC<br />- Balkon<br />- Nähe Einkaufsmöglichkeiten<br />- Parkmöglichkeit dazumietbar,1370,1080,290,MONTHLY,e266c7c6-4839-4df9-ae54-614490b821ff.jpg,c92bd79a-1c41-4f87-b1d5-15b5b8cf81af.jpg,7cda4c35-ee5e-4f6e-ac15-f1ac5c059581.jpg,cd43fb26-a7dd-4475-9ac0-0e449425b884.jpg,ad9f47fb-98fa-45e4-a812-54f3081512b7.jpg,Aussenansicht,Aussenansicht,Innenansicht,Innenansicht,Küche,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/c0762f34-6e05-457c-a06b-65241c15e1f8?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Bernet Sula,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 69,,071 421 69 99,,,,,,"Hauswartin Frau Haxhaj, Tel. 071 620 19 52",,,2801ab52-72de-4f32-99a9-5f544ff31be1.jpg,97ccb80f-e5b8-43af-9b88-cf264cd9d0fa.jpg,,,Bad,Grundriss,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,12,Marktstrasse 28,8570,Weinfelden,TG,CH,der Altstadt nur wenige Meter entfernt,"- gepflegte Liegenschaft<br />- attraktiver Grundriss<br />- Wohn-/Esszimmer/Korridor mit Parkett<br />- Schlafräume mit Marmoleum<br />- moderne Küche mit GK/GS<br />- Bad/WC, Gäste-WC<br />- grosser Balkon<br />- im 1.OG mit Lift<br />- Estrich-und K",1620,1410,210,MONTHLY,31a9bb1d-13cf-473d-8b23-c1d1cf518f9f.jpg,602e73e9-a9c3-4d88-96c9-21dc9a318afb.jpg,a1665ca7-2a33-449b-bec1-d978757ae6db.jpg,28bb89c7-e71e-42c8-b046-63f65d91c24c.jpg,8950bb30-d51b-47d5-98f0-00e9adaa4eb2.jpg,Aussenansicht,Aussenansicht,Küche,Bad,Zimmer,,,,,,,,,,,,https://www.mywincasa.ch/go/rent/9cb24279-a83a-4013-a8fb-2ae7c94debfb?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Filiale St. Gallen,Wieser Michaela,St. Leonhard-Str. 39,9001,St. Gallen,CH,071 421 69 28,,071 421 69 99,,,,,,,,,055c36c7-e29b-4e89-aa6e-6695d990b234.jpg,,,,Grundriss,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,5,RENT,110,Av. de Champel 67,1206,Genève,GE,CH,Dépôt au sous-sol,Location pour une durée de 1 à 2 ans au maximum.<br />Dépôt de 39.8 M2 =  CHF 400.-- mensuel,120.6,,,M2YEARLY,25323d5e-45cb-4551-8bd4-20360e591dca.jpg,,,,,Vue extérieure,,,,,,,,,,,,,,,,,wic,,Wincasa Agence Genève,Giacobino Nadia,"28, bvd. du Pont d'Arve",1211,Genève,CH,022 404 65 08,,,,,,,,"Nadia Giacobino<br />28, bvd. du Pont d'Arve, 1211 Genève<br />Téléphone: 022 404 65 08<br />Fax/portable:   022 404 65 05<br />e-mail:     nadia.giacobino@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,1,RENT,332,Ch. de Pierrefleur 80,1004,Lausanne,VD,CH,Bel appartement de 3 pièces proche de la campagne,"Charmant appartement de 3 pièces situé au 3ème étage d'un immeuble locatif, se composant comme suit :<br /><br />- Hall avec armoires murales<br />- Spacieux séjour avec accès direct au balcon<br />- Cuisine entièrement agencée avec coin repas et accès au balcon<br />- Une belle chambres avec parquet<br />- Une pièce séparée et ouverte sur le salon<br />- Grande salle de bains<br />- 2 Spacieux balcons<br /><br />Disponible au 1er mars 2018, ainsi que places de parc intérieures<br /><br />Unique visite sur place le mardi 30 janvier 2018 entre 17h30 et 18h30 en présence des locataires, Mme Freitas<br /><br />Une fois la visite effectuée et en cas d'intérêt de votre part, merci de nous adresser les documents suivants :<br /><br />Formulaire de demande de location en original (disponible sur notre site)<br />Original de l'extrait de l'Office des poursuites datant de moins de trois mois<br />Copie des trois dernières fiches de salaire<br />Copie de votre carte d'identité/titre de séjour<br /><br />Si notre annonce a éveillé votre curiosité, n’hésitez pas à nous contacter.",1705,1595,110,MONTHLY,63bfd702-42d9-4d70-8c40-3c3deebc39cd.jpg,0448eafe-705f-4bc3-979a-45df1039ca1b.jpg,5c91e6f0-2cff-48a7-989e-a428d4704101.jpg,572b4da2-1e35-4db8-8452-719c2e6128cf.jpg,dc9c2aed-dbd8-4516-b1a2-3d40b48eca8e.jpg,Vue extérieure,Vue extérieure,Vue extérieure,Vue intérieure,Vue intérieure,,,,,,,,,95620e68-6896-449e-90a2-ff51d8c41c30.pdf,Divers,,https://www.mywincasa.ch/go/rent/11fc515f-89f9-49ef-b9a6-14b8a4aa36fc?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Agence Lausanne,Rossé Sarah,Av. de Rumine 20,1002,Lausanne,CH,021 310 61 39,,021 310 61 99,,,,,,"Unique visite sur place le mardi 30 janvier 2018 entre 17h30 et 18h30 en présence des locataires, Mme Freitas et M. Teixeira",,,60453914-7fd8-42fa-bd4e-bae83efd2652.jpg,909acde3-d9fd-476d-8939-5ea280a2e390.jpg,efd80a27-2004-4196-ac0a-6796703253fb.jpg,,Vue intérieure,Vue intérieure,Vue intérieure,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,N,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,,,Y,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,5,RENT,702,"Pierrefleur 76-84, PP int.",1004,Lausanne,VD,CH,Places de parc intérieures - Ch. de Pierrefleur 76-84 à Lausanne,"Disponibles de suite à la location :<br /><br />Places de parc intérieures à CHF 120.00 / mois hors TVA<br /><br /><br />En cas d'intérêt, merci de nous faire parvenir les documents suivants:<br /><br />- Demande de location pour objets accessoires en original (disponible sur le site)<br />- Original de l'extrait de l'Office des poursuites (datant de moins de 3 mois)<br />- Copie des trois dernières fiches de salaire<br />- Copie de votre pièce d'identité/titre de séjour<br /><br />Si notre annonce a éveillé votre curiosité, n’hésitez pas à nous contacter.",120,120,,MONTHLY,8c0f7c84-8bbb-4d18-8ddd-1fb98a46a97d.jpg,0d8b5da4-57a3-408d-830c-0cd48e5bfecb.jpg,,,,Vue extérieure,Vue extérieure,,,,,,,,,,,,95620e68-6896-449e-90a2-ff51d8c41c30.pdf,Divers,,https://www.mywincasa.ch/go/rent/9e4f8c23-67bf-4aeb-b54f-ceb9ac10f126?utm_campaign=idx&utm_source=owp&utm_medium=website,wic,,Wincasa Agence Lausanne,Rossé Sarah,Av. de Rumine 20,1002,Lausanne,CH,021 310 61 39,,021 310 61 99,,,,,,"Merci de contacter Mme Sarah Rossé, collaboratrice gérance, au 021/310.61.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,Y,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
